3alpha_code,name_en,scientific_name,genus,family,major_group,isscaap_group,name_no_nei,fao_group,match_category,species
pgr,plunderfish,pogonophryne permitini,pogonophryne,artedidraconidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,plunderfish
szt,NA,NA,NA,NA,NA,NA,NA,NA,NA,pogonophryne scotti
yjv,NA,NA,NA,NA,NA,NA,NA,NA,NA,pogonophryne ventrimaculata
pog,NA,NA,NA,NA,NA,NA,NA,NA,NA,pogonophryne spp
hfx,NA,NA,NA,NA,NA,NA,NA,NA,NA,spiny plunderfishes nei
plf,NA,NA,NA,NA,NA,NA,NA,NA,NA,barbeled plunderfishes nei
dwa,NA,NA,NA,NA,NA,NA,NA,NA,NA,acanthodraco dewitti
akn,NA,NA,NA,NA,NA,NA,NA,NA,NA,akarotaxis nudiceps
bdn,NA,NA,NA,NA,NA,NA,NA,NA,NA,bathydraco antarcticus
bdh,NA,NA,NA,NA,NA,NA,NA,NA,NA,bathydraco macrolepis
bdj,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep-water dragon
bfd,NA,NA,NA,NA,NA,NA,NA,NA,NA,bathydraco scotiae
mdr,NA,NA,NA,NA,NA,NA,NA,NA,NA,mawson's dragonfish
gea,NA,NA,NA,NA,NA,NA,NA,NA,NA,gerlachea australis
gdr,NA,NA,NA,NA,NA,NA,NA,NA,NA,ploughfish
pch,NA,NA,NA,NA,NA,NA,NA,NA,NA,parachaenichthys charcoti
pge,NA,parachaenichthys georgianus,parachaenichthys,bathydraconidae,pisces,miscellaneous demersal fishes,NA,yes,sci_name,parachaenichthys georgianus
pwh,NA,NA,NA,NA,NA,NA,NA,NA,NA,parachaenichthys spp
pev,NA,NA,NA,NA,NA,NA,NA,NA,NA,prionodraco evansii
psr,NA,NA,NA,NA,NA,NA,NA,NA,NA,psilodraco breviceps
rgg,NA,NA,NA,NA,NA,NA,NA,NA,NA,racovitzia glacialis
voi,NA,NA,NA,NA,NA,NA,NA,NA,NA,vomeridens infuscipinnis
bqy,NA,NA,NA,NA,NA,NA,NA,NA,NA,dragonfishes nei
ssi,blackfin icefish,chaenocephalus aceratus,chaenocephalus,channichthyidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,blackfin icefish
wic,spiny icefish,chaenodraco wilsoni,chaenodraco,channichthyidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,spiny icefish
ces,pike icefish,champsocephalus esox,champsocephalus,channichthyidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,pike icefish
ani,mackerel icefish,champsocephalus gunnari,champsocephalus,channichthyidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,mackerel icefish
